Word,Count
<tr><td><code>disableHome</code></td><td>0x20</td><td></td></tr>,42
#AppCompatTheme_actionModeCopyDrawable,42
#RecyclerView_spanCount,42
#AppCompatTheme_tooltipFrameBackground,42
#ScrollingViewBehavior_Layout_behavior_overlapTop,42
#AppCompatTheme_actionModeSplitBackground,42
#AppCompatTheme_buttonStyle,42
#MenuView_android_itemTextAppearance,42
#TextInputLayout_passwordToggleContentDescription,42
#TextAppearance_android_typeface,42
android:orderInCategory,42
#TextAppearance_fontFamily,42
android.R.attr#orientation},42
#RecyclerView_stackFromEnd,42
#MenuItem_actionLayout,42
#ActionMode_subtitleTextStyle,42
#SwitchCompat_switchMinWidth,42
#TextAppearance_android_textColorHint,42
<tr><td><code>showCustom</code></td><td>0x10</td><td></td></tr>,42
#MenuItem_android_visible,42
#FontFamily_fontProviderAuthority,42
#AppCompatTheme_actionBarWidgetTheme,42
#AppCompatTheme_actionBarPopupTheme,42
#TextInputLayout_android_hint,42
#AppCompatTheme_listPreferredItemPaddingRight,42
#TextAppearance_android_shadowDx,42
#FontFamilyFont_fontWeight,42
#ActionBar_customNavigationLayout,42
#BottomNavigationView_menu,42
android.R.attr#textAppearance},42
#Toolbar_contentInsetRight,42
#SearchView_android_imeOptions,42
#ViewBackgroundHelper_backgroundTint,42
#AppCompatTheme_actionModeBackground,42
#CollapsingToolbarLayout_Layout},42
#BottomNavigationView_itemTextColor,42
android:gravity,42
#ViewStubCompat_android_inflatedId,42
android:visible}</code></td><td></td></tr>,42
#TextInputLayout_hintAnimationEnabled,42
#Toolbar_logoDescription,42
#CollapsingToolbarLayout_expandedTitleMarginStart,42
<tr><td><code>fill</code></td><td>0x77</td><td></td></tr>,42
#AppCompatTheme_alertDialogButtonGroupStyle,42
<tr><td><code>parallax</code></td><td>2</td><td></td></tr>,42
#AlertDialog_singleChoiceItemLayout,42
android:menuCategory,42
#BottomSheetBehavior_Layout_behavior_peekHeight,42
#AlertDialog_multiChoiceItemLayout,42
#SearchView_iconifiedByDefault,42
#CardView_android_minWidth,42
#AppCompatTheme_textAppearanceListItemSecondary,42
#CollapsingToolbarLayout_expandedTitleTextAppearance,42
#CompoundButton_buttonTint,42
#TextAppearance_android_shadowRadius,42
#SnackbarLayout_android_maxWidth,42
#CollapsingToolbarLayout_contentScrim,42
#AppCompatTheme_textAppearanceLargePopupMenu,42
#CollapsingToolbarLayout_scrimAnimationDuration,42
#DrawerArrowToggle_spinBars,42
#AppCompatTheme_textAppearanceListItemSmall,42
#TabItem_android_text,42
#CardView_cardMaxElevation,42
#ListPopupWindow_android_dropDownHorizontalOffset,42
#LinearLayoutCompat_android_baselineAligned,42
#Toolbar_navigationContentDescription,42
#TextInputLayout_errorTextAppearance,42
#FontFamily_fontProviderPackage,42
#Toolbar_android_gravity,42
#FloatingActionButton_backgroundTint,42
#PopupWindow_android_popupAnimationStyle,42
#AppCompatTheme_actionButtonStyle,42
#View_theme,42
#AppCompatTheme_android_windowIsFloating,42
#ActionMode_height,42
#TabLayout_tabTextAppearance,42
android:icon}</code></td><td></td></tr>,42
#TabItem_android_layout,42
#AppCompatTheme_actionBarItemBackground,42
<tr><td><code>center</code></td><td>1</td><td></td></tr>,42
#CollapsingToolbarLayout_expandedTitleMarginTop,42
#View_paddingStart,42
#MenuGroup_android_id,42
<tr><td><code>beginning</code></td><td>1</td><td></td></tr>,42
android.R.attr#popupBackground},42
android:icon,42
#Toolbar_contentInsetEndWithActions,42
<tr><td><code>async</code></td><td>1</td><td></td></tr>,42
android:textColorHint}</code></td><td></td></tr>,42
#RecyclerView_android_orientation,42
android.R.attr#windowAnimationStyle},42
#ActivityChooserView},42
#SearchView_android_inputType,42
#AppCompatTheme_actionBarDivider,42
#TextAppearance_android_fontFamily,42
#MenuItem_iconTintMode,42
#AppCompatTheme_buttonBarPositiveButtonStyle,42
#AppBarLayout_Layout},42
#ActionBar_progressBarStyle,42
<tr><td><code>enterAlways</code></td><td>0x4</td><td></td></tr>,42
<tr><td><code>listMode</code></td><td>1</td><td></td></tr>,42
#SwitchCompat_thumbTint,42
android.R.attr#gravity},42
#Toolbar_logo,42
#AppCompatTheme_dialogTheme,42
#AppCompatTheme_listPreferredItemHeight,42
#AppCompatTheme_dropdownListPreferredItemHeight,42
#LinearLayoutCompat_Layout_android_layout_gravity,42
<tr><td><code>fill</code></td><td>0</td><td></td></tr>,42
#TabLayout_tabPaddingBottom,42
#Toolbar_navigationIcon,42
<tr><td><code>end</code></td><td>4</td><td></td></tr>,42
#AppCompatSeekBar_tickMark,42
#AppCompatTextHelper_android_drawableEnd,42
#MenuItem_android_alphabeticShortcut,42
#ActionBar_contentInsetStartWithNavigation,42
#AppCompatTheme_textAppearanceSearchResultSubtitle,42
#ListPopupWindow},42
#Toolbar_titleMargin,42
#MenuItem_android_enabled,42
#Toolbar_subtitle,42
#AppCompatTheme_colorAccent,42
android.R.attr#visible},42
android.R.attr#menuCategory},42
<tr><td><code>italic</code></td><td>1</td><td></td></tr>,42
#Spinner_android_popupBackground,42
android:enabled,42
#CardView_cardUseCompatPadding,42
#TabLayout_tabSelectedTextColor,42
#AppCompatTheme_actionOverflowButtonStyle,42
#CardView_contentPaddingRight,42
#NavigationView_itemIconTint,42
#SnackbarLayout_elevation,42
<tr><td><code>exitUntilCollapsed</code></td><td>0x2</td><td></td></tr>,42
android.R.attr#orderInCategory},42
#AppCompatTheme_selectableItemBackgroundBorderless,42
#AppCompatTheme_actionModeShareDrawable,42
#TextInputLayout_errorEnabled,42
#AppCompatTheme_colorBackgroundFloating,42
#MenuItem_android_checkable,42
#ActionBar_hideOnContentScroll,42
#Spinner_android_entries,42
#AppCompatTheme_dividerVertical,42
#ActionBar_contentInsetStart,42
#MenuItem_android_titleCondensed,42
#AppCompatTheme_textColorSearchUrl,42
#AlertDialog_listLayout,42
#LinearLayoutCompat_android_gravity,42
#MenuItem_android_title,42
#AppCompatTheme_colorSwitchThumbNormal,42
#AppCompatTheme_ratingBarStyleIndicator,42
#PopupWindow_overlapAnchor,42
#ForegroundLinearLayout_foregroundInsidePadding,42
#AppCompatTheme_windowFixedWidthMinor,42
#CardView_contentPadding,42
#AppCompatTheme_alertDialogTheme,42
#MediaRouteButton_externalRouteEnabledDrawable,42
#ActionBar_subtitle,42
#MenuItem_numericModifiers,42
#MenuView_android_horizontalDivider,42
#FontFamilyFont_android_font,42
#SearchView_voiceIcon,42
<tr><td><code>showTitle</code></td><td>0x8</td><td></td></tr>,42
<tr><td><code>forever</code></td><td>-1</td><td></td></tr>,42
#ActionBar_popupTheme,42
#AppCompatTheme_buttonBarNeutralButtonStyle,42
#BottomSheetBehavior_Layout_behavior_skipCollapsed,42
android:windowAnimationStyle,42
#DrawerArrowToggle_drawableSize,42
android:textAppearance}</code></td><td></td></tr>,42
#TabLayout_tabPaddingEnd,42
#AppBarLayout_Layout_layout_scrollInterpolator,42
#AppCompatSeekBar_tickMarkTintMode,42
#AppCompatTheme_borderlessButtonStyle,42
#AppCompatTheme_popupMenuStyle,42
#Toolbar_popupTheme,42
#Toolbar_title,42
#Toolbar_maxButtonHeight,42
#DesignTheme_textColorError,42
#AppCompatTheme_actionOverflowMenuStyle,42
#CollapsingToolbarLayout_expandedTitleMarginBottom,42
<tr><td><code>snap</code></td><td>0x10</td><td></td></tr>,42
#ActionMode_background,42
#TextAppearance_android_shadowColor,42
#FontFamilyFont_android_fontWeight,42
#RecyclerView_fastScrollHorizontalTrackDrawable,42
#CoordinatorLayout_Layout_android_layout_gravity,42
#SearchView_android_maxWidth,42
#AppBarLayout_android_touchscreenBlocksFocus,42
#AppCompatTheme_editTextStyle,42
#TabLayout_tabPaddingTop,42
#LinearLayoutCompat_Layout_android_layout_height,42
#ActionBar_contentInsetEndWithActions,42
#TabLayout_tabMaxWidth,42
#AppCompatTheme_colorPrimary,42
#AppCompatTheme_actionModePasteDrawable,42
#NavigationView_android_fitsSystemWindows,42
#TextAppearance_android_textSize,42
#AppCompatTheme_popupWindowStyle,42
#CardView_cardPreventCornerOverlap,42
android.R.attr#icon},42
#Toolbar_android_minHeight,42
#MenuView_android_headerBackground,42
#CoordinatorLayout_Layout_layout_keyline,42
#AppCompatTheme_listPreferredItemHeightSmall,42
#MenuGroup_android_menuCategory,42
